i_lambda,lambda,alpha,beta,sd_beta
261,1660,1.0101659153200016,0.10529483869114535,0.006568106150382585
262,1661,0.9803275555600016,0.11175441706587336,0.007030650674704177
263,1662,0.9520006570400017,0.11592260174536677,0.007384706848619575
264,1663,0.9260386814800019,0.1192785978521308,0.007665904630728848
265,1664,0.9031202250800019,0.12229392189800446,0.008022730365376372
266,1665,0.8841527682000022,0.12422989289116965,0.008260006050792686
267,1666,0.8676617918800019,0.12657208930819966,0.008369547550848764
268,1667,0.854476949040002,0.13020286524163635,0.008366527003359553
269,1668,0.8426160978400021,0.13373199339375008,0.008477948792396854
270,1669,0.8311401502400022,0.13609875237891317,0.008781636414658492
271,1670,0.8196798808000021,0.13785403011726338,0.009118833065448445
272,1671,0.8061188100800023,0.1412854635989946,0.009324319423207118
273,1672,0.7906174987600023,0.1453199416893235,0.009540403375006027
274,1673,0.7714657934800023,0.1494191269871075,0.009791404871594692
275,1674,0.7486997884400025,0.15556649659054128,0.010054806085917986
276,1675,0.7215580130400024,0.16092900916972697,0.01033983883707423
277,1676,0.6894407027600026,0.16576871366522314,0.010640372785905022
278,1677,0.6530352324400027,0.17251795197429007,0.010809747489234828
279,1678,0.6129257839200029,0.17816155950044546,0.010994174188531106
280,1679,0.5691709685600029,0.18413217281852762,0.011259076049307953
281,1680,0.521450737320003,0.1899513889991541,0.011739042666394374
282,1681,0.4696618395200031,0.19610311852844692,0.0118928138759571
283,1682,0.4139238100400032,0.20214611555881354,0.011923230511553551
284,1683,0.3545741416400033,0.20911872068553214,0.012124540027777618
285,1684,0.29094016636000336,0.21648712386212118,0.012281470817396407
286,1685,0.2236979873600035,0.22392487753653526,0.01247006354005725
287,1686,0.15237642492000367,0.2325246670086477,0.012737805049909954
288,1687,0.07886692836000378,0.2393501284613877,0.012950420807411692
289,1688,0.00046393616000386657,0.2455884610192891,0.013224893651581771
290,1689,-0.07681316059999604,0.2512698794967342,0.013338123474929978
291,1690,-0.15694010827999597,0.2558010574712489,0.013373491938809443
292,1691,-0.23314273963999588,0.261023802070665,0.01352925817939192
293,1692,-0.30911984727999586,0.26611370460661254,0.013626604376548501
294,1693,-0.3820480747599957,0.271540356661708,0.013773064426363365
295,1694,-0.45344126483999564,0.2776441378927088,0.014056621371309764
296,1695,-0.5250394594399955,0.2817874161335053,0.014273044085087581
297,1696,-0.5966496712799956,0.2842442732173104,0.014354084228095719
298,1697,-0.6720825046799953,0.2885088521101388,0.014534819331052249
299,1698,-0.7502962487999955,0.2912969840280556,0.014867509078132063
300,1699,-0.8312183448799954,0.2941091844186088,0.015016157005102357
301,1700,-0.9144377518799952,0.29929404866653886,0.01530372136991055
