i_lambda,lambda,logA,run
161,1560,0.548125496211408,3
162,1561,0.565668187969934,3
163,1562,0.582179024708328,3
164,1563,0.598538157031371,3
165,1564,0.614761164842844,3
166,1565,0.630534091603134,3
167,1566,0.64588862372493,3
168,1567,0.661046948061416,3
169,1568,0.676294895174923,3
170,1569,0.691434403317902,3
171,1570,0.706754403649281,3
172,1571,0.722681961964473,3
173,1572,0.738464880624761,3
174,1573,0.753963316292845,3
175,1574,0.769722756230428,3
176,1575,0.785895836576818,3
177,1576,0.801839638162177,3
178,1577,0.817781026108902,3
179,1578,0.833584845748959,3
180,1579,0.849547470255463,3
181,1580,0.865026069775918,3
182,1581,0.880326575462975,3
183,1582,0.894981239665225,3
184,1583,0.90901993938099,3
185,1584,0.922959301149417,3
186,1585,0.936617049023007,3
187,1586,0.95011543238525,3
188,1587,0.963228638032865,3
189,1588,0.976595920006576,3
190,1589,0.990026375170873,3
191,1590,1.00266814980335,3
192,1591,1.01530866747716,3
193,1592,1.02752989824833,3
194,1593,1.03883127431128,3
195,1594,1.05034112332514,3
196,1595,1.06197231179134,3
197,1596,1.0732017012903,3
198,1597,1.08446500816629,3
199,1598,1.09491117850451,3
200,1599,1.10474535326935,3
201,1600,1.11425020246724,3
202,1601,1.12304273851883,3
203,1602,1.13167228804706,3
204,1603,1.14010422093145,3
205,1604,1.14826198536528,3
206,1605,1.15603854845299,3
207,1606,1.16346530417333,3
208,1607,1.17022735593075,3
209,1608,1.17741090584522,3
210,1609,1.18442964010148,3
211,1610,1.19165290204732,3
212,1611,1.19897359827923,3
213,1612,1.20677469295168,3
214,1613,1.21489745555701,3
215,1614,1.22303494533442,3
216,1615,1.23180871098658,3
217,1616,1.24043371912048,3
218,1617,1.2487465843589,3
219,1618,1.25714068326207,3
220,1619,1.26500078715568,3
221,1620,1.27222530102185,3
222,1621,1.27862060600524,3
223,1622,1.28422566061411,3
224,1623,1.2889717844688,3
225,1624,1.29346916355533,3
226,1625,1.29773216356702,3
227,1626,1.30103471090542,3
228,1627,1.30415807648715,3
229,1628,1.30699129666865,3
230,1629,1.30955596571499,3
231,1630,1.31224673269849,3
232,1631,1.31396365244908,3
233,1632,1.31558507425189,3
234,1633,1.31741607056909,3
235,1634,1.3184033125235,3
236,1635,1.32016861079849,3
237,1636,1.32206718129519,3
238,1637,1.32293971977102,3
239,1638,1.32330338138653,3
240,1639,1.32298793626296,3
241,1640,1.32162102154955,3
242,1641,1.31908520507888,3
243,1642,1.31560527720617,3
244,1643,1.31047698934677,3
245,1644,1.30387999075003,3
246,1645,1.29610896561147,3
247,1646,1.28745417934699,3
248,1647,1.27800586545996,3
249,1648,1.26847957826391,3
250,1649,1.25883480336466,3
251,1650,1.24812533232175,3
252,1651,1.23749224759808,3
253,1652,1.22578772027523,3
254,1653,1.21279421067796,3
255,1654,1.19839785410056,3
256,1655,1.18133958218759,3
257,1656,1.16185150369841,3
258,1657,1.13884832577425,3
259,1658,1.11356826180439,3
260,1659,1.08647826693251,3
261,1660,1.05843123630554,3
262,1661,1.03123291699691,3
263,1662,1.0053079796459,3
264,1663,0.98163209740436,3
265,1664,0.960619844313214,3
266,1665,0.942422777531989,3
267,1666,0.926698423954251,3
268,1667,0.914548341767582,3
269,1668,0.902707446285897,3
270,1669,0.890900472586957,3
271,1670,0.878980068869678,3
272,1671,0.86412839804925,3
273,1672,0.847210397379209,3
274,1673,0.82681328048872,3
275,1674,0.802622102392864,3
276,1675,0.774379294762718,3
277,1676,0.741653944616995,3
278,1677,0.704686386882444,3
279,1678,0.664195130155409,3
280,1679,0.61987967775522,3
281,1680,0.571383838662179,3
282,1681,0.51912550861521,3
283,1682,0.463165055950861,3
284,1683,0.402897267670247,3
285,1684,0.338181796032168,3
286,1685,0.27011284805985,3
287,1686,0.197290091484137,3
288,1687,0.123567129485548,3
289,1688,0.0458129084716617,3
290,1689,-0.0312146531708504,3
291,1690,-0.110501750626366,3
292,1691,-0.186848320429061,3
293,1692,-0.263426048756179,3
294,1693,-0.33727610452177,3
295,1694,-0.409523745188161,3
296,1695,-0.482463522783891,3
